dataset	model	gen	pagerank_js	ci_lower	ci_upper
flights	GCN_AE	7	0.9275373023342319	0.9151750034436561	0.9398996012248098
flights	GCN_AE	8	0.928022668703289	0.9158089030162824	0.9402364343902969
flights	GCN_AE	9	0.928497013771244	0.9165927750075022	0.940401252534987
flights	GCN_AE	10	0.9284911218116169	0.9165832110274376	0.9403990325957975
flights	GCN_AE	11	0.9284914779718442	0.9165838348140379	0.9403991211296517
flights	GCN_AE	12	0.9284770560042114	0.9165656777611374	0.9403884342472867
flights	GCN_AE	13	0.9284664491529163	0.916552279640196	0.9403806186656382
flights	GCN_AE	14	0.9284770560042114	0.9165656777611374	0.9403884342472867
flights	GCN_AE	15	0.9284914779718442	0.9165838348140379	0.9403991211296517
flights	GCN_AE	16	0.9284914779718442	0.9165838348140379	0.9403991211296517
flights	GCN_AE	17	0.9284770560042114	0.9165656777611374	0.9403884342472867
flights	GCN_AE	18	0.9284770560042114	0.9165656777611374	0.9403884342472867
flights	GCN_AE	19	0.9284914779718442	0.9165838348140379	0.9403991211296517
flights	GCN_AE	20	0.9284770560042114	0.9165656777611374	0.9403884342472867
flights	GraphRNN	1	0.7644771101655593	0.761391872850101	0.7675623474810176
flights	GraphRNN	2	0.708143955196692	0.7043619550645531	0.711925955328831
flights	GraphRNN	3	0.7105074863108392	0.7063083864475365	0.7147065861741418
flights	GraphRNN	4	0.7329508573371037	0.731760355548117	0.7341413591260902
flights	GraphRNN	5	0.7275665516504087	0.7264574781726739	0.7286756251281431
flights	GraphRNN	6	0.7185880599485104	0.717665788410731	0.71951033148629
flights	GraphRNN	7	0.710736498532153	0.7097840229282366	0.7116889741360688
flights	GraphRNN	8	0.7085543195222591	0.7074975316863722	0.709611107358146
flights	GraphRNN	9	0.7053157732464541	0.7044296989151893	0.7062018475777192
flights	GraphRNN	10	0.6922120309632774	0.691249161326515	0.6931749006000401
flights	GraphRNN	11	0.6845658153372404	0.6836777133755102	0.6854539172989708
flights	GraphRNN	12	0.6804499624892641	0.6795259708363329	0.6813739541421949
flights	GraphRNN	13	0.6945397143323536	0.6935192944145581	0.695560134250149
flights	GraphRNN	14	0.680622087273036	0.6794768860603941	0.6817672884856776
flights	GraphRNN	15	0.6692269524258505	0.6683337721050617	0.6701201327466391
flights	GraphRNN	16	0.6653188728506678	0.6642910165579349	0.6663467291434008
flights	GraphRNN	17	0.663006448623258	0.6618991199191949	0.6641137773273208
flights	GraphRNN	18	0.6581296210719557	0.6569476723425963	0.6593115698013151
flights	GraphRNN	19	0.6456566877332709	0.6445027963361223	0.6468105791304195
flights	GraphRNN	20	0.646686966421584	0.6455165479581626	0.6478573848850058
flights	Kronecker	1	0.289937086706893	0.28632982799137624	0.29354434542240976
flights	Kronecker	2	0.2955494411748906	0.2918573595106354	0.29924152283914585
flights	Kronecker	3	0.36337464452855356	0.36089057712051964	0.3658587119365875
flights	Kronecker	4	0.4883322067895678	0.48630332329080256	0.4903610902883328
flights	Kronecker	5	0.5780773948636037	0.5753956461854226	0.5807591435417845
flights	Kronecker	6	0.6553218478179721	0.651748522795715	0.6588951728402291
flights	Kronecker	7	0.741921963835255	0.7370758612142106	0.7467680664562993
flights	Kronecker	8	0.8196123573665762	0.8155806323232915	0.8236440824098608
flights	Kronecker	9	0.9088959756079739	0.9065296852647515	0.9112622659511955
flights	Kronecker	10	0.928961141998711	0.9285207718079808	0.9294015121894411
flights	Kronecker	11	0.9313051285958446	0.9310431184679753	0.9315671387237137
flights	Kronecker	12	0.9325073998395319	0.9321981146645286	0.932816685014535
flights	Kronecker	13	0.9311159430906509	0.9306571872079948	0.931574698973307
flights	Kronecker	14	0.9316577588776478	0.9313693897073853	0.9319461280479103
flights	Kronecker	15	0.9327838655431525	0.9324590194863369	0.9331087115999681
flights	Kronecker	16	0.9312887534152544	0.9308529618769432	0.9317245449535654
flights	Kronecker	17	0.931860852013991	0.9315346169405176	0.932187087087464
flights	Kronecker	18	0.9330480180823818	0.9326741295001368	0.9334219066646265
flights	Kronecker	19	0.9313360308876952	0.9309121453701417	0.9317599164052495
flights	Kronecker	20	0.9319192185278254	0.9316082291738329	0.9322302078818171
flights	Linear_AE	1	0.7997399588565177	0.7978002715219358	0.8016796461911001
flights	Linear_AE	2	0.7870172253092403	0.7833372156872069	0.790697234931274
flights	Linear_AE	3	0.8493038887844429	0.8375533059701702	0.8610544715987153
flights	Linear_AE	4	0.9271059257470955	0.9142253497772324	0.9399865017169597
flights	Linear_AE	5	0.9409917283688557	0.9317494906121112	0.950233966125602
flights	Linear_AE	6	0.9445852459922298	0.9371768466212035	0.9519936453632581
flights	Linear_AE	7	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	8	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	9	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	10	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	11	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	12	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	13	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	14	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	15	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	16	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	17	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	18	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	19	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	Linear_AE	20	0.9446175296667245	0.9372075222898371	0.952027537043614
flights	SBM	1	0.33339171787468147	0.3279073881822938	0.3388760475670691
flights	SBM	2	0.33596731217000253	0.33058142195473655	0.3413532023852685
flights	SBM	3	0.33726760975987274	0.3316743879466237	0.3428608315731217
flights	SBM	4	0.33967212725311546	0.33331409361825226	0.34603016088797867
flights	SBM	5	0.34095689172504334	0.3341328706845219	0.347780912765565
flights	SBM	6	0.3431299487071569	0.33591093861893134	0.3503489587953826
flights	SBM	7	0.34622146562191314	0.3386675954021802	0.35377533584164605
flights	SBM	8	0.3466096005727887	0.3388610126249854	0.35435818852059203
flights	SBM	9	0.3495994606727506	0.3420630343656396	0.3571358869798616
flights	SBM	10	0.3471757443358555	0.3394215191494281	0.3549299695222832
flights	SBM	11	0.34998103763554284	0.3418400003184842	0.3581220749526018
flights	SBM	12	0.3504955003905661	0.34203245593676807	0.3589585448443641
flights	SBM	13	0.3514642709755001	0.34320045570731655	0.35972808624368363
flights	SBM	14	0.3503014007597006	0.34138084648415956	0.3592219550352417
flights	SBM	15	0.3484577938747254	0.3399520035014372	0.3569635842480134
flights	SBM	16	0.35114108254765214	0.3420987651801021	0.3601833999152024
flights	SBM	17	0.35075403498466906	0.34115672953500153	0.3603513404343366
flights	SBM	18	0.3512334884744231	0.3409854641588741	0.3614815127899721
flights	SBM	19	0.3525455500929312	0.34315392759389585	0.36193717259196656
flights	SBM	20	0.35203115142409463	0.3423423822062873	0.36171992064190195
